"Id";"Code Barre";"Type de pièce";"Marque";"Référence constructeur";"Code absolu darty/ SDS";"Modèle ou chassis";"Etat actuel de la pièce";"Localisation";"Commentaire"
394;"0000016641";"91";"8";"481010438414";"0380180";"NC";"Non contrôlée";"Zone 2 D07";"Prix conseillé aswo 135"
408;"0000022637";"27";"40";"34421622";"3424274";"NC";"Non contrôlée";"Zone 2 D07";
334;"0000030868";"111";"15";"34010639";"3314626";"TW814EU";"Non contrôlée";"Zone 2 B03";
331;"0000034574";"111";"6";"DC9406279A";"3428098";"FWMUUNIF500E";"Non contrôlée";"Zone 2 B03";
372;"0000035533";"94";"2";"12011298";"0305210";;"Non contrôlée";"Zone 2 D02";
164;"0000053778";"79";"2";"00656659";"0308926";"HB";"HS";"Zone 2 C05";"Alim ventilo en CC"
83;"0000065231";"93";"3";"8077075052";"0434403";"94406603702-94406658801";"HS";"Zone 2 C06";"resistance cms hs"
374;"0000070217";"93";"2";"00791293";"2109632";;"Non contrôlée";"Zone 2 D02";"Prix conseillé aswo 121,72"
259;"0000071832";"93";"13";"AS6014997";"0419117";"HERAKLES";"Non contrôlée";"Zone 2 A01";"Soudure sur relais HS"
476;"0000072349";"93";"6";"DA92-00813E";"3457799";;"Non contrôlée";"Zone 2 B02";"Prix conseillé aswo 96,80"
460;"0000079920";"111";"6";"DC94-06270A";"0514360";;"Non contrôlée";"Zone 2 B03";"Plus dispo sur aswo"
406;"0000088957";"111";"46";"49037268";"3430952";"NC";"Non contrôlée";"Zone 2 D07";
335;"0000103077";"111";"16";"34060202";"3423321";"MSC70EBDI";"Non contrôlée";"Zone 2 B03";
88;"0000104155";"38";"42";"46002826";"0021857";"31001331-31018946";"Neuve";"Zone 2 C06";
85;"0000129167";"11";"2";"00755078";"1970550";"3V300NP329-VVD25A20EU46";"Non contrôlée";"Zone 2 C06";"Ne chauffe pas mais peut être pas le bon chassis lors du rpdfo"
165;"0000140434";"73";"2";"12005744";"2444022";"GV640";"Neuve";"Zone 2 C05";
166;"0000154197";"91";"8";"481010438414";"0380180";"AWA";"HS";"Zone 2 C07";"Ne s'allume pas"
71;"0000173710";"91";"3";"8078222315";"2153517";"EWT1260ES";"Non contrôlée";"Zone 2 C01";"Mleto Faure  Symptôme : Rajoute 1h30"
438;"0000322102";"91";"3";"140000406334";"2317819";"NC";"Non contrôlée";"Zone 2 D08";"MLV Electrolux, afficheur scintille. Prix conseillé aswo 140,24"
473;"0000325961";"7";"6";"BN94-10711A";"3420942";;"Non contrôlée";"Zone 2 B02";"Prix conseillé aswo 88,31"
